id,id_fantoir,numero,rep,nom_voie,code_postal,code_insee,nom_commune,code_insee_ancienne_commune,nom_ancienne_commune,x,y,lon,lat,type_position,alias,nom_ld,libelle_acheminement,nom_afnor,source_position,source_nom_voie,certification_commune,cad_parcelles
01343_fuz56d_00172,,172,,les Feuilles,01380,01343,Saint-Cyr-sur-Menthon,,,850966.49,6577850.04,4.960958,46.283667,segment,,,SAINT-CYR-SUR-MENTHON,LES FEUILLES,inconnue,inconnue,0,
01343_et5wov_00006,,6,,la Platière,01380,01343,Saint-Cyr-sur-Menthon,,,851343.68,6575695.46,4.965159,46.264187,segment,,,SAINT-CYR-SUR-MENTHON,LA PLATIERE,inconnue,inconnue,0,
01343_et5wov_00360,,360,,la Platière,01380,01343,Saint-Cyr-sur-Menthon,,,851343.68,6575695.46,4.965159,46.264187,segment,,,SAINT-CYR-SUR-MENTHON,LA PLATIERE,inconnue,inconnue,0,
01343_et5wov_00670,,670,,la Platière,01380,01343,Saint-Cyr-sur-Menthon,,,851343.68,6575695.46,4.965159,46.264187,segment,,,SAINT-CYR-SUR-MENTHON,LA PLATIERE,inconnue,inconnue,0,
01343_pmqmgw_00053,,53,,Tournaz,01380,01343,Saint-Cyr-sur-Menthon,,,850818.93,6576011.79,4.95845,46.267152,segment,,,SAINT-CYR-SUR-MENTHON,TOURNAZ,inconnue,inconnue,0,
01343_pmqmgw_00060,,60,,Tournaz,01380,01343,Saint-Cyr-sur-Menthon,,,850818.93,6576011.79,4.95845,46.267152,segment,,,SAINT-CYR-SUR-MENTHON,TOURNAZ,inconnue,inconnue,0,
01343_m4tzzv_00034,,34,,le Sorbier,01380,01343,Saint-Cyr-sur-Menthon,,,850458.61,6575713.15,4.953677,46.264544,segment,,,SAINT-CYR-SUR-MENTHON,LE SORBIER,inconnue,inconnue,0,
01343_m4tzzv_00038,,38,,le Sorbier,01380,01343,Saint-Cyr-sur-Menthon,,,850458.61,6575713.15,4.953677,46.264544,segment,,,SAINT-CYR-SUR-MENTHON,LE SORBIER,inconnue,inconnue,0,
01343_m4tzzv_00086,,86,,le Sorbier,01380,01343,Saint-Cyr-sur-Menthon,,,850458.61,6575713.15,4.953677,46.264544,segment,,,SAINT-CYR-SUR-MENTHON,LE SORBIER,inconnue,inconnue,0,
01343_m4tzzv_00092,,92,,le Sorbier,01380,01343,Saint-Cyr-sur-Menthon,,,850458.61,6575713.15,4.953677,46.264544,segment,,,SAINT-CYR-SUR-MENTHON,LE SORBIER,inconnue,inconnue,0,
01343_m4tzzv_00325,,325,,le Sorbier,01380,01343,Saint-Cyr-sur-Menthon,,,850458.61,6575713.15,4.953677,46.264544,segment,,,SAINT-CYR-SUR-MENTHON,LE SORBIER,inconnue,inconnue,0,
01343_onro1t_00256,,256,,l'Île,01380,01343,Saint-Cyr-sur-Menthon,,,853214.19,6576872.51,4.989822,46.274361,segment,,,SAINT-CYR-SUR-MENTHON,L ILE,inconnue,inconnue,0,
01343_onro1t_00286,,286,,l'Île,01380,01343,Saint-Cyr-sur-Menthon,,,853214.19,6576872.51,4.989822,46.274361,segment,,,SAINT-CYR-SUR-MENTHON,L ILE,inconnue,inconnue,0,
01343_onro1t_00330,,330,,l'Île,01380,01343,Saint-Cyr-sur-Menthon,,,853214.19,6576872.51,4.989822,46.274361,segment,,,SAINT-CYR-SUR-MENTHON,L ILE,inconnue,inconnue,0,
01343_onro1t_00465,,465,,l'Île,01380,01343,Saint-Cyr-sur-Menthon,,,853214.19,6576872.51,4.989822,46.274361,segment,,,SAINT-CYR-SUR-MENTHON,L ILE,inconnue,inconnue,0,
01343_onro1t_00519,,519,,l'Île,01380,01343,Saint-Cyr-sur-Menthon,,,853214.19,6576872.51,4.989822,46.274361,segment,,,SAINT-CYR-SUR-MENTHON,L ILE,inconnue,inconnue,0,
01343_onro1t_00563,,563,,l'Île,01380,01343,Saint-Cyr-sur-Menthon,,,853214.19,6576872.51,4.989822,46.274361,segment,,,SAINT-CYR-SUR-MENTHON,L ILE,inconnue,inconnue,0,
01343_onro1t_00774,,774,,l'Île,01380,01343,Saint-Cyr-sur-Menthon,,,853214.19,6576872.51,4.989822,46.274361,segment,,,SAINT-CYR-SUR-MENTHON,L ILE,inconnue,inconnue,0,
01343_fu19md_00930,,930,,Marillat,01380,01343,Saint-Cyr-sur-Menthon,,,851483.42,6574731.15,4.966661,46.255475,segment,,,SAINT-CYR-SUR-MENTHON,MARILLAT,inconnue,inconnue,0,
01343_fu19md_00974,,974,,Marillat,01380,01343,Saint-Cyr-sur-Menthon,,,851468.73,6574727.01,4.966469,46.255441,entrée,,,SAINT-CYR-SUR-MENTHON,MARILLAT,inconnue,inconnue,0,
01343_fu19md_01006,,1006,,Marillat,01380,01343,Saint-Cyr-sur-Menthon,,,851483.42,6574731.15,4.966661,46.255475,segment,,,SAINT-CYR-SUR-MENTHON,MARILLAT,inconnue,inconnue,0,
01343_fu19md_01012,,1012,,Marillat,01380,01343,Saint-Cyr-sur-Menthon,,,851483.42,6574731.15,4.966661,46.255475,segment,,,SAINT-CYR-SUR-MENTHON,MARILLAT,inconnue,inconnue,0,
01343_fu19md_01284,,1284,,Marillat,01380,01343,Saint-Cyr-sur-Menthon,,,851483.42,6574731.15,4.966661,46.255475,segment,,,SAINT-CYR-SUR-MENTHON,MARILLAT,inconnue,inconnue,0,
01343_fu19md_01346,,1346,,Marillat,01380,01343,Saint-Cyr-sur-Menthon,,,851483.42,6574731.15,4.966661,46.255475,segment,,,SAINT-CYR-SUR-MENTHON,MARILLAT,inconnue,inconnue,0,
01343_fu19md_01412,,1412,,Marillat,01380,01343,Saint-Cyr-sur-Menthon,,,851483.42,6574731.15,4.966661,46.255475,segment,,,SAINT-CYR-SUR-MENTHON,MARILLAT,inconnue,inconnue,0,
01343_wb4g4q_00025,,25,,Buchet,01380,01343,Saint-Cyr-sur-Menthon,,,850375.84,6576075.46,4.952719,46.267824,segment,,,SAINT-CYR-SUR-MENTHON,BUCHET,inconnue,inconnue,0,
01343_wb4g4q_00034,,34,,Buchet,01380,01343,Saint-Cyr-sur-Menthon,,,850375.84,6576075.46,4.952719,46.267824,segment,,,SAINT-CYR-SUR-MENTHON,BUCHET,inconnue,inconnue,0,
01343_wb4g4q_00048,,48,,Buchet,01380,01343,Saint-Cyr-sur-Menthon,,,850375.84,6576075.46,4.952719,46.267824,segment,,,SAINT-CYR-SUR-MENTHON,BUCHET,inconnue,inconnue,0,
01343_wb4g4q_00052,,52,,Buchet,01380,01343,Saint-Cyr-sur-Menthon,,,850375.84,6576075.46,4.952719,46.267824,segment,,,SAINT-CYR-SUR-MENTHON,BUCHET,inconnue,inconnue,0,
01343_d5ps6x_00160,,160,,Travernay,01380,01343,Saint-Cyr-sur-Menthon,,,852016.67,6579036.97,4.974979,46.294116,segment,,,SAINT-CYR-SUR-MENTHON,TRAVERNAY,inconnue,inconnue,0,
01343_dsz96v_00069,,69,,La Pilleuse,01380,01343,Saint-Cyr-sur-Menthon,,,853048.72,6578212.5,4.988112,46.286461,segment,,,SAINT-CYR-SUR-MENTHON,LA PILLEUSE,inconnue,inconnue,0,
01343_dsz96v_00130,,130,,La Pilleuse,01380,01343,Saint-Cyr-sur-Menthon,,,853048.72,6578212.5,4.988112,46.286461,segment,,,SAINT-CYR-SUR-MENTHON,LA PILLEUSE,inconnue,inconnue,0,
01343_ly1ci8_00021,,21,,Boucle des Bonnieres,01380,01343,Saint-Cyr-sur-Menthon,,,852225.37,6577314.46,4.977129,46.278563,segment,,,SAINT-CYR-SUR-MENTHON,BOUCLE DES BONNIERES,inconnue,inconnue,0,
01343_ly1ci8_00082,,82,,Boucle des Bonnieres,01380,01343,Saint-Cyr-sur-Menthon,,,852234.57,6577285.14,4.977239,46.278297,segment,,,SAINT-CYR-SUR-MENTHON,BOUCLE DES BONNIERES,inconnue,inconnue,0,
01343_ly1ci8_00092,,92,,Boucle des Bonnieres,01380,01343,Saint-Cyr-sur-Menthon,,,852225.37,6577314.46,4.977129,46.278563,segment,,,SAINT-CYR-SUR-MENTHON,BOUCLE DES BONNIERES,inconnue,inconnue,0,
01343_ly1ci8_00097,,97,,Boucle des Bonnieres,01380,01343,Saint-Cyr-sur-Menthon,,,852212.81,6577222.38,4.976936,46.277737,entrée,,,SAINT-CYR-SUR-MENTHON,BOUCLE DES BONNIERES,inconnue,inconnue,0,
01343_tblqeb_00002,,2,,la Manche,01380,01343,Saint-Cyr-sur-Menthon,,,852324.29,6577946.46,4.978619,46.28423,parcelle,,,SAINT-CYR-SUR-MENTHON,LA MANCHE,cadastre,inconnue,0,01343000ZH0191
