id,geom,addr_postcode,addr_conscriptionnumber,addr_streetnumber,addr_street,addr_housenumber,id_cons,addr_conscription,wd_cons
node_1949439293,POINT(14.4185544 50.0837978),11000,355,14,Na Perštýně,355/14,relation_428812,Staré Město,Q748211
node_296491655,POINT(14.4214566 50.0853774),11000,503,19,Havelská,503/19,relation_428812,Staré Město,Q748211
node_296487438,POINT(14.4203313 50.0889898),11000,925,2,Salvátorská,925/2,relation_428812,Staré Město,Q748211
node_296501084,POINT(14.4257438 50.0898683),11000,695,23,Masná,695/23,relation_428812,Staré Město,Q748211
node_296449485,POINT(14.4224012 50.0853794),11000,539,1,Havelská ulička,539/1,relation_428812,Staré Město,Q748211
node_296459456,POINT(14.4165918 50.0861438),11000,190,1,Karlova,190/1,relation_428812,Staré Město,Q748211
node_296471753,POINT(14.4238066 50.0919959),11000,812,14,Anežská,812/14,relation_428812,Staré Město,Q748211
node_296487539,POINT(14.4170156 50.0860434),11000,175,3,Karlova,175/3,relation_428812,Staré Město,Q748211
node_296493122,POINT(14.4155252 50.0842894),11000,271,12,Náprstkova,271/12,relation_428812,Staré Město,Q748211
node_296502417,POINT(14.4212614 50.0848221),11000,517,14,Havelská,517/14,relation_428812,Staré Město,Q748211
node_296468559,POINT(14.4146435 50.0824777),11000,317,15,Karoliny Světlé,317/15,relation_428812,Staré Město,Q748211
node_296449537,POINT(14.4219871 50.0857330),11000,499,27,Havelská,499/27,relation_428812,Staré Město,Q748211
node_1271444224,POINT(14.4218491 50.0844665),11000,406,10,Rytířská,406/10,relation_428812,Staré Město,Q748211
node_296495446,POINT(14.4169924 50.0853503),110 00,222,3,Řetězová,222/3,relation_428812,Staré Město,Q748211
node_296462165,POINT(14.4161162 50.0817914),11000,339,1,Karoliny Světlé,339/1,relation_428812,Staré Město,Q748211
node_296449792,POINT(14.4198486 50.0847177),11000,431,5,Michalská,431/5,relation_428812,Staré Město,Q748211
node_2823686613,POINT(14.4193887 50.0876381),11000,17,7,Nám. Franze Kafky,17/7,relation_428812,Staré Město,Q748211
node_296463979,POINT(14.4229078 50.0871841),11000,556,8,Celetná,556/8,relation_428812,Staré Město,Q748211
node_296479894,POINT(14.4165843 50.0845143),11000,250,4,Liliová,250/4,relation_428812,Staré Město,Q748211
node_296495797,POINT(14.4209115 50.0854199),11000,467,7,Melantrichova,467/7,relation_428812,Staré Město,Q748211
